case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4962206,other injury,34.0,-117.0,100000 to 250000,daylight,12:23:00,0,highway,wet,construction,cloudy,1,no proof of insurance obtained,26,female,not applicable,0,honda,1995,2,3,7,5,2,2,honda,1,2,2,1,0,1
4962233,property damage only,34.37273,-119.01529,unincorporated,dusk or dawn,05:16:00,0,highway,dry,normal,clear,1,proof of insurance obtained,46,male,not applicable,0,peterbilt,1993,1,1,1,3,1,1,peterbilt,1,1,1,1,0,1
4962275,property damage only,33.88333,-117.53451,100000 to 250000,dark with street lights,00:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,28,male,not applicable,0,ford,2001,1,1,7,4,1,1,ford,1,1,1,1,0,1
4962361,property damage only,36.92377,-120.05485,unincorporated,dark with street lights,03:45:00,0,intersection,wet,normal,raining,1,proof of insurance obtained,21,female,G,0,suzuki,2003,2,1,1,4,2,4,suzuki,3,1,1,1,0,1
4962619,pain,34.08488,-118.30088,>250000,dark with street lights,04:05:00,1,highway,dry,normal,clear,1,proof of insurance obtained,37,male,not applicable,0,buick,2002,1,2,8,4,1,1,buick,1,1,1,1,1,1
4962724,pain,33.77172,-118.03756,50000 to 100000,daylight,09:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,36,male,not applicable,0,toyota,2005,1,2,6,5,1,1,toyota,1,1,1,1,0,1
4963287,property damage only,33.77137,-117.91027,100000 to 250000,dark with street lights,18:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,female,not applicable,0,toyota,2004,2,1,7,4,1,1,toyota,1,1,1,1,0,1
4963516,other injury,34.27562,-118.49445,>250000,dark with no street lights,19:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,16,female,not applicable,0,toyota,1996,2,3,8,1,1,1,toyota,1,1,1,1,0,1
4963568,property damage only,34.1677,-118.5864,>250000,daylight,08:59:00,0,highway,dry,normal,clear,1,proof of insurance obtained,79,female,not applicable,0,mercedes-benz,2009,2,1,8,5,1,1,mercedes-benz,1,1,1,1,0,1
4963879,property damage only,35.33096,-118.81189,unincorporated,daylight,13:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,male,not applicable,0,dodge,2005,1,1,1,5,1,1,dodge,1,1,1,1,0,1
4964165,property damage only,32.65815,-117.07488,100000 to 250000,dark with no street lights,18:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,62,male,not applicable,0,toyota,2001,1,1,7,1,1,1,toyota,1,1,1,1,1,1
4964252,pain,34.50987,-117.33105,unincorporated,daylight,15:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,17,female,not applicable,0,honda,2006,2,2,1,5,1,1,honda,1,1,1,1,0,1
4964300,property damage only,34.1705,-118.60543,>250000,dark with street lights,20:35:00,0,highway,slippery,normal,raining,1,proof of insurance obtained,38,male,not applicable,0,ford,2004,1,1,8,4,3,4,ford,1,1,1,1,0,1
4964419,pain,33.82642,-117.9254,>250000,daylight,14:35:00,0,highway,dry,obstruction,clear,1,proof of insurance obtained,31,female,not applicable,0,nissan,2010,2,2,8,5,1,1,nissan,1,3,1,1,0,1
4964576,other injury,33.99441,-118.06937,50000 to 100000,daylight,08:40:00,0,highway,wet,normal,raining,1,proof of insurance obtained,23,male,not applicable,0,kia,2004,1,3,6,5,2,4,kia,1,1,1,1,0,1
4964588,property damage only,34.17144,-117.57166,unincorporated,dark with street lights,19:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,0,honda,2010,1,1,1,4,1,1,honda,1,1,1,1,0,1
4964597,pain,33.88714,-118.03431,25000 to 50000,daylight,10:35:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,53,female,not applicable,0,honda,2003,2,2,5,5,1,2,honda,1,1,1,1,0,1
4964634,property damage only,33.44927,-117.63871,50000 to 100000,dark with no street lights,19:03:00,0,highway,dry,normal,clear,1,proof of insurance obtained,29,male,not applicable,0,jeep,2001,1,1,6,1,1,1,jeep,1,1,1,1,0,1
4964658,property damage only,33.99438,-117.88931,unincorporated,dark with street lights,21:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,20,male,not applicable,0,honda,1990,1,1,1,4,1,1,honda,1,1,1,1,0,1
4964667,property damage only,33.93199,-118.10118,100000 to 250000,daylight,10:00:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,36,male,not applicable,0,chevrolet,2000,1,1,7,5,1,2,chevrolet,1,1,1,1,0,1
4964772,other injury,33.50923,-117.66052,25000 to 50000,daylight,14:38:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,26,male,not applicable,0,kawasaki,2009,1,3,5,5,1,2,kawasaki,1,1,1,1,0,1
4964844,property damage only,35.35263,-118.9964,unincorporated,daylight,12:43:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,28,male,not applicable,0,chevrolet,2001,1,1,1,5,1,2,chevrolet,1,1,1,1,0,1
4966024,property damage only,34.23154,-118.40236,>250000,dark with no street lights,02:55:00,0,highway,wet,construction,cloudy,1,proof of insurance obtained,21,male,not applicable,0,honda,1999,1,1,8,1,2,2,honda,1,2,1,1,1,1
